Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(731296k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-27T22:21:00.691-0800: 0.586: [GC (Allocation Failure) [PSYoungGen: 131584K->7170K(153088K)] 131584K->7186K(502784K), 0.0060831 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:27.396-0800: 27.291: [GC (Allocation Failure) [PSYoungGen: 143473K->4753K(156672K)] 160306K->21594K(506368K), 0.0025999 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:27.716-0800: 27.611: [GC (Allocation Failure) [PSYoungGen: 143505K->288K(139264K)] 160346K->21301K(488960K), 0.0027616 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:28.009-0800: 27.904: [GC (Allocation Failure) [PSYoungGen: 139040K->320K(156160K)] 160053K->21405K(505856K), 0.0017583 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:28.277-0800: 28.172: [GC (Allocation Failure) [PSYoungGen: 138048K->288K(156160K)] 159133K->21381K(505856K), 0.0017202 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:28.528-0800: 28.422: [GC (Allocation Failure) [PSYoungGen: 138016K->288K(156160K)] 159109K->21389K(505856K), 0.0016319 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:28.760-0800: 28.655: [GC (Allocation Failure) [PSYoungGen: 138016K->320K(156160K)] 159117K->21429K(505856K), 0.0014909 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:28.973-0800: 28.868: [GC (Allocation Failure) [PSYoungGen: 138048K->304K(156672K)] 159157K->21421K(506368K), 0.0016099 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:29.173-0800: 29.067: [GC (Allocation Failure) [PSYoungGen: 139056K->304K(156672K)] 160173K->21429K(506368K), 0.0014678 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:29.344-0800: 29.239: [GC (Allocation Failure) [PSYoungGen: 139056K->320K(158208K)] 160181K->21453K(507904K), 0.0014230 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:29.488-0800: 29.383: [GC (Allocation Failure) [PSYoungGen: 141632K->304K(157696K)] 162765K->21445K(507392K), 0.0014680 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:29.638-0800: 29.532: [GC (Allocation Failure) [PSYoungGen: 141616K->304K(159232K)] 162757K->21453K(508928K), 0.0015390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:29.770-0800: 29.665: [GC (Allocation Failure) [PSYoungGen: 143664K->352K(158720K)] 164813K->21501K(508416K), 0.0017616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:29.910-0800: 29.804: [GC (Allocation Failure) [PSYoungGen: 143712K->304K(160768K)] 164861K->21461K(510464K), 0.0015937 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.046-0800: 29.940: [GC (Allocation Failure) [PSYoungGen: 146736K->352K(160256K)] 167893K->21509K(509952K), 0.0014721 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.186-0800: 30.080: [GC (Allocation Failure) [PSYoungGen: 146784K->304K(162304K)] 167941K->21469K(512000K), 0.0017324 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.323-0800: 30.218: [GC (Allocation Failure) [PSYoungGen: 149296K->288K(161280K)] 170461K->21517K(510976K), 0.0014626 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.460-0800: 30.354: [GC (Allocation Failure) [PSYoungGen: 149280K->288K(163328K)] 170509K->21581K(513024K), 0.0015788 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.595-0800: 30.489: [GC (Allocation Failure) [PSYoungGen: 151840K->304K(162816K)] 173133K->21637K(512512K), 0.0013678 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.734-0800: 30.628: [GC (Allocation Failure) [PSYoungGen: 151856K->272K(164864K)] 173189K->21653K(514560K), 0.0013534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:30.879-0800: 30.773: [GC (Allocation Failure) [PSYoungGen: 154896K->256K(164352K)] 176277K->21693K(514048K), 0.0013714 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:31.015-0800: 30.909: [GC (Allocation Failure) [PSYoungGen: 154880K->256K(165888K)] 176317K->21773K(515584K), 0.0017465 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:31.141-0800: 31.035: [GC (Allocation Failure) [PSYoungGen: 156928K->288K(165376K)] 178445K->21837K(515072K), 0.0013717 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:31.291-0800: 31.186: [GC (Allocation Failure) [PSYoungGen: 156960K->288K(166912K)] 178509K->21893K(516608K), 0.0014096 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:31.434-0800: 31.328: [GC (Allocation Failure) [PSYoungGen: 159002K->256K(166400K)] 180608K->21909K(516096K), 0.0013836 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:31.567-0800: 31.462: [GC (Allocation Failure) [PSYoungGen: 158976K->256K(167936K)] 180629K->21965K(517632K), 0.0013037 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:31.710-0800: 31.605: [GC (Allocation Failure) [PSYoungGen: 161024K->256K(167424K)] 182733K->21973K(517120K), 0.0013174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:31.850-0800: 31.744: [GC (Allocation Failure) [PSYoungGen: 161024K->256K(168960K)] 182741K->21981K(518656K), 0.0012666 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:31.999-0800: 31.893: [GC (Allocation Failure) [PSYoungGen: 163072K->288K(168448K)] 184797K->22045K(518144K), 0.0013357 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:32.140-0800: 32.035: [GC (Allocation Failure) [PSYoungGen: 163104K->288K(169472K)] 184861K->22085K(519168K), 0.0016962 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:32.282-0800: 32.177: [GC (Allocation Failure) [PSYoungGen: 164128K->256K(168960K)] 185925K->22061K(518656K), 0.0013180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:32.424-0800: 32.318: [GC (Allocation Failure) [PSYoungGen: 164096K->256K(169984K)] 185901K->22069K(519680K), 0.0014098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:32.561-0800: 32.456: [GC (Allocation Failure) [PSYoungGen: 165632K->256K(169984K)] 187445K->22093K(519680K), 0.0015177 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:32.699-0800: 32.593: [GC (Allocation Failure) [PSYoungGen: 165632K->256K(170496K)] 187469K->22101K(520192K), 0.0013147 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:32.844-0800: 32.739: [GC (Allocation Failure) [PSYoungGen: 166656K->256K(170496K)] 188501K->22149K(520192K), 0.0015596 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:32.993-0800: 32.888: [GC (Allocation Failure) [PSYoungGen: 166656K->256K(171008K)] 188549K->22157K(520704K), 0.0014457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:33.134-0800: 33.029: [GC (Allocation Failure) [PSYoungGen: 167680K->256K(171008K)] 189581K->22173K(520704K), 0.0013441 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:33.283-0800: 33.178: [GC (Allocation Failure) [PSYoungGen: 167680K->256K(171520K)] 189597K->22237K(521216K), 0.0013177 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:33.409-0800: 33.303: [GC (Allocation Failure) [PSYoungGen: 168704K->256K(171520K)] 190685K->22253K(521216K), 0.0013044 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:33.568-0800: 33.462: [GC (Allocation Failure) [PSYoungGen: 168704K->288K(172032K)] 190701K->22285K(521728K), 0.0012763 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:33.716-0800: 33.610: [GC (Allocation Failure) [PSYoungGen: 169760K->256K(172032K)] 191757K->22253K(521728K), 0.0012664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:33.861-0800: 33.756: [GC (Allocation Failure) [PSYoungGen: 169728K->256K(172544K)] 191725K->22261K(522240K), 0.0012765 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.021-0800: 33.916: [GC (Allocation Failure) [PSYoungGen: 170240K->256K(172032K)] 192245K->22301K(521728K), 0.0012743 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.175-0800: 34.070: [GC (Allocation Failure) [PSYoungGen: 170240K->256K(172544K)] 192285K->22333K(522240K), 0.0014610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.316-0800: 34.211: [GC (Allocation Failure) [PSYoungGen: 170752K->224K(172544K)] 192829K->22301K(522240K), 0.0016078 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.505-0800: 34.400: [GC (Allocation Failure) [PSYoungGen: 170720K->256K(173056K)] 192797K->22333K(522752K), 0.0013387 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.644-0800: 34.538: [GC (Allocation Failure) [PSYoungGen: 171264K->256K(172544K)] 193341K->22333K(522240K), 0.0013364 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.798-0800: 34.693: [GC (Allocation Failure) [PSYoungGen: 171264K->288K(173056K)] 193341K->22381K(522752K), 0.0012665 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:34.944-0800: 34.839: [GC (Allocation Failure) [PSYoungGen: 171808K->256K(173056K)] 193901K->22397K(522752K), 0.0012943 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:35.096-0800: 34.991: [GC (Allocation Failure) [PSYoungGen: 171776K->256K(173056K)] 193917K->22397K(522752K), 0.0013092 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:35.240-0800: 35.134: [GC (Allocation Failure) [PSYoungGen: 171776K->256K(173056K)] 193917K->22437K(522752K), 0.0013491 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:35.379-0800: 35.274: [GC (Allocation Failure) [PSYoungGen: 171776K->256K(173568K)] 193957K->22445K(523264K), 0.0012821 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:35.528-0800: 35.422: [GC (Allocation Failure) [PSYoungGen: 172283K->256K(173056K)] 194473K->22445K(522752K), 0.0013106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:35.673-0800: 35.568: [GC (Allocation Failure) [PSYoungGen: 172288K->256K(173568K)] 194477K->22445K(523264K), 0.0012948 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:35.800-0800: 35.695: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 194989K->22445K(523264K), 0.0013148 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:35.946-0800: 35.841: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 194989K->22445K(523264K), 0.0012295 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:36.089-0800: 35.983: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 194989K->22445K(523264K), 0.0013077 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:36.233-0800: 36.127: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 194989K->22445K(523264K), 0.0012505 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:36.381-0800: 36.275: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 194989K->22453K(523264K), 0.0015240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:36.514-0800: 36.409: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 194997K->22453K(523264K), 0.0012987 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:36.652-0800: 36.547: [GC (Allocation Failure) [PSYoungGen: 172800K->288K(173568K)] 194997K->22517K(523264K), 0.0019222 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:36.788-0800: 36.682: [GC (Allocation Failure) [PSYoungGen: 172832K->256K(173568K)] 195061K->22541K(523264K), 0.0013106 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:36.923-0800: 36.818: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 195085K->22541K(523264K), 0.0012741 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:37.061-0800: 36.955: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 195085K->22541K(523264K), 0.0013319 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:37.194-0800: 37.089: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(173568K)] 195085K->22557K(523264K), 0.0012815 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:37.335-0800: 37.229: [GC (Allocation Failure) [PSYoungGen: 172800K->256K(174080K)] 195101K->22565K(523776K), 0.0014972 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:37.472-0800: 37.366: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196133K->22597K(523776K), 0.0013301 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:37.609-0800: 37.504: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196165K->22565K(523776K), 0.0012571 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:37.743-0800: 37.638: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196133K->22565K(523776K), 0.0012920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:37.879-0800: 37.773: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196133K->22565K(523776K), 0.0015124 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:38.019-0800: 37.914: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196133K->22597K(523776K), 0.0014671 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:38.152-0800: 38.047: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196165K->22565K(523776K), 0.0012901 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:38.289-0800: 38.184: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196133K->22573K(523776K), 0.0014501 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2020-10-27T22:21:38.422-0800: 38.317: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196141K->22573K(523776K), 0.0013360 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:38.558-0800: 38.452: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196141K->22605K(523776K), 0.0012917 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:38.693-0800: 38.587: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196173K->22605K(523776K), 0.0014399 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:38.827-0800: 38.722: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196173K->22573K(523776K), 0.0013661 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:38.962-0800: 38.856: [GC (Allocation Failure) [PSYoungGen: 173792K->160K(174080K)] 196141K->22509K(523776K), 0.0014633 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:39.095-0800: 38.989: [GC (Allocation Failure) [PSYoungGen: 173728K->256K(174080K)] 196077K->22605K(523776K), 0.0017243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:39.230-0800: 39.124: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196173K->22605K(523776K), 0.0013537 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:39.359-0800: 39.254: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196173K->22605K(523776K), 0.0013036 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:39.481-0800: 39.376: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196173K->22605K(523776K), 0.0014251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:39.600-0800: 39.495: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196173K->22605K(523776K), 0.0013177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:39.719-0800: 39.613: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196173K->22613K(523776K), 0.0014057 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:39.837-0800: 39.731: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196181K->22621K(523776K), 0.0014530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:39.954-0800: 39.849: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196189K->22621K(523776K), 0.0014338 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.076-0800: 39.971: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196189K->22621K(523776K), 0.0020905 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.196-0800: 40.091: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196189K->22621K(523776K), 0.0017299 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.317-0800: 40.211: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196189K->22621K(523776K), 0.0015653 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.436-0800: 40.331: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196189K->22621K(523776K), 0.0013268 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.556-0800: 40.450: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196189K->22653K(523776K), 0.0014175 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.675-0800: 40.570: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196221K->22621K(523776K), 0.0013083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.795-0800: 40.689: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196189K->22621K(523776K), 0.0013202 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:40.913-0800: 40.807: [GC (Allocation Failure) [PSYoungGen: 173824K->288K(174080K)] 196189K->22709K(523776K), 0.0014802 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.035-0800: 40.930: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 196277K->22709K(523776K), 0.0016535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.154-0800: 41.049: [GC (Allocation Failure) [PSYoungGen: 173856K->288K(174080K)] 196277K->22709K(523776K), 0.0022691 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.278-0800: 41.173: [GC (Allocation Failure) [PSYoungGen: 173856K->256K(174080K)] 196277K->22701K(523776K), 0.0015411 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:41.397-0800: 41.291: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196269K->22701K(523776K), 0.0013985 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.513-0800: 41.407: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196269K->22725K(523776K), 0.0012938 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.631-0800: 41.526: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22725K(523776K), 0.0012969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.748-0800: 41.643: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22725K(523776K), 0.0015305 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:41.873-0800: 41.767: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22725K(523776K), 0.0014716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:41.993-0800: 41.888: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22725K(523776K), 0.0012985 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.113-0800: 42.007: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22725K(523776K), 0.0016565 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:21:42.230-0800: 42.124: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22725K(523776K), 0.0013242 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.347-0800: 42.242: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196293K->22733K(523776K), 0.0014331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.465-0800: 42.359: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196301K->22733K(523776K), 0.0012763 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.587-0800: 42.482: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196301K->22733K(523776K), 0.0016218 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.708-0800: 42.602: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196301K->22733K(523776K), 0.0013450 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.827-0800: 42.722: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196301K->22733K(523776K), 0.0015430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:42.949-0800: 42.844: [GC (Allocation Failure) [PSYoungGen: 173824K->256K(174080K)] 196301K->22749K(523776K), 0.0020196 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:43.076-0800: 42.970: [GC (Allocation Failure) [PSYoungGen: 173824K->224K(174080K)] 196317K->22717K(523776K), 0.0013596 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
