Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(906212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-10-27T22:13:07.307-0800: 0.636: [GC (Allocation Failure) 2020-10-27T22:13:07.307-0800: 0.636: [DefNew: 139776K->7076K(157248K), 0.0118367 secs] 139776K->7076K(506816K), 0.0119409 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:38.143-0800: 31.472: [GC (Allocation Failure) 2020-10-27T22:13:38.144-0800: 31.472: [DefNew: 144141K->4503K(157248K), 0.0055136 secs] 163429K->23791K(506816K), 0.0056483 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:38.471-0800: 31.800: [GC (Allocation Failure) 2020-10-27T22:13:38.471-0800: 31.800: [DefNew: 144279K->4444K(157248K), 0.0047917 secs] 163567K->23732K(506816K), 0.0049573 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:38.768-0800: 32.096: [GC (Allocation Failure) 2020-10-27T22:13:38.768-0800: 32.096: [DefNew: 144220K->4369K(157248K), 0.0044710 secs] 163508K->23657K(506816K), 0.0045958 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:39.049-0800: 32.377: [GC (Allocation Failure) 2020-10-27T22:13:39.049-0800: 32.377: [DefNew: 144145K->4426K(157248K), 0.0050943 secs] 163433K->23714K(506816K), 0.0051977 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:39.332-0800: 32.661: [GC (Allocation Failure) 2020-10-27T22:13:39.332-0800: 32.661: [DefNew: 144202K->4340K(157248K), 0.0039227 secs] 163490K->23628K(506816K), 0.0040304 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:39.588-0800: 32.917: [GC (Allocation Failure) 2020-10-27T22:13:39.588-0800: 32.917: [DefNew: 144116K->4364K(157248K), 0.0041229 secs] 163404K->23651K(506816K), 0.0042279 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:39.817-0800: 33.146: [GC (Allocation Failure) 2020-10-27T22:13:39.817-0800: 33.146: [DefNew: 144140K->4341K(157248K), 0.0039492 secs] 163427K->23629K(506816K), 0.0040624 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:40.038-0800: 33.367: [GC (Allocation Failure) 2020-10-27T22:13:40.038-0800: 33.367: [DefNew: 144116K->4433K(157248K), 0.0048828 secs] 163404K->23721K(506816K), 0.0049932 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:40.254-0800: 33.583: [GC (Allocation Failure) 2020-10-27T22:13:40.254-0800: 33.583: [DefNew: 144209K->4404K(157248K), 0.0047427 secs] 163497K->23691K(506816K), 0.0048534 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:40.440-0800: 33.768: [GC (Allocation Failure) 2020-10-27T22:13:40.440-0800: 33.768: [DefNew: 144180K->4428K(157248K), 0.0045499 secs] 163467K->23715K(506816K), 0.0046692 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:40.614-0800: 33.942: [GC (Allocation Failure) 2020-10-27T22:13:40.614-0800: 33.942: [DefNew: 144204K->4394K(157248K), 0.0045544 secs] 163491K->23682K(506816K), 0.0046612 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:40.776-0800: 34.104: [GC (Allocation Failure) 2020-10-27T22:13:40.776-0800: 34.104: [DefNew: 144170K->276K(157248K), 0.0061737 secs] 163458K->23684K(506816K), 0.0062919 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:40.938-0800: 34.267: [GC (Allocation Failure) 2020-10-27T22:13:40.938-0800: 34.267: [DefNew: 140052K->160K(157248K), 0.0028938 secs] 163460K->23659K(506816K), 0.0030021 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:41.087-0800: 34.415: [GC (Allocation Failure) 2020-10-27T22:13:41.087-0800: 34.416: [DefNew: 139936K->180K(157248K), 0.0027774 secs] 163435K->23695K(506816K), 0.0028800 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:41.229-0800: 34.557: [GC (Allocation Failure) 2020-10-27T22:13:41.229-0800: 34.557: [DefNew: 139956K->146K(157248K), 0.0030630 secs] 163471K->23665K(506816K), 0.0031654 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:41.375-0800: 34.704: [GC (Allocation Failure) 2020-10-27T22:13:41.375-0800: 34.704: [DefNew: 139922K->280K(157248K), 0.0027361 secs] 163441K->23804K(506816K), 0.0028122 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-27T22:13:41.516-0800: 34.845: [GC (Allocation Failure) 2020-10-27T22:13:41.516-0800: 34.845: [DefNew: 140056K->164K(157248K), 0.0029058 secs] 163580K->23706K(506816K), 0.0029991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:41.660-0800: 34.988: [GC (Allocation Failure) 2020-10-27T22:13:41.660-0800: 34.988: [DefNew: 139939K->155K(157248K), 0.0032336 secs] 163482K->23703K(506816K), 0.0033340 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:41.798-0800: 35.126: [GC (Allocation Failure) 2020-10-27T22:13:41.798-0800: 35.126: [DefNew: 139931K->145K(157248K), 0.0027708 secs] 163479K->23695K(506816K), 0.0028828 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:41.943-0800: 35.271: [GC (Allocation Failure) 2020-10-27T22:13:41.943-0800: 35.272: [DefNew: 139921K->151K(157248K), 0.0037205 secs] 163471K->23712K(506816K), 0.0038251 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:42.088-0800: 35.416: [GC (Allocation Failure) 2020-10-27T22:13:42.088-0800: 35.416: [DefNew: 139927K->147K(157248K), 0.0029369 secs] 163488K->23710K(506816K), 0.0030413 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:42.231-0800: 35.560: [GC (Allocation Failure) 2020-10-27T22:13:42.231-0800: 35.560: [DefNew: 139923K->125K(157248K), 0.0027290 secs] 163486K->23689K(506816K), 0.0028638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:42.371-0800: 35.699: [GC (Allocation Failure) 2020-10-27T22:13:42.371-0800: 35.699: [DefNew: 139901K->150K(157248K), 0.0025127 secs] 163465K->23714K(506816K), 0.0026044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:42.512-0800: 35.840: [GC (Allocation Failure) 2020-10-27T22:13:42.512-0800: 35.840: [DefNew: 139926K->106K(157248K), 0.0029673 secs] 163490K->23676K(506816K), 0.0030737 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:42.646-0800: 35.974: [GC (Allocation Failure) 2020-10-27T22:13:42.646-0800: 35.975: [DefNew: 139882K->124K(157248K), 0.0027603 secs] 163452K->23698K(506816K), 0.0028501 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:42.780-0800: 36.109: [GC (Allocation Failure) 2020-10-27T22:13:42.780-0800: 36.109: [DefNew: 139900K->142K(157248K), 0.0026315 secs] 163474K->23717K(506816K), 0.0027239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:42.915-0800: 36.244: [GC (Allocation Failure) 2020-10-27T22:13:42.915-0800: 36.244: [DefNew: 139918K->123K(157248K), 0.0024914 secs] 163493K->23704K(506816K), 0.0025639 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:43.050-0800: 36.379: [GC (Allocation Failure) 2020-10-27T22:13:43.050-0800: 36.379: [DefNew: 139899K->144K(157248K), 0.0025360 secs] 163480K->23725K(506816K), 0.0026269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:43.210-0800: 36.538: [GC (Allocation Failure) 2020-10-27T22:13:43.210-0800: 36.538: [DefNew: 139920K->77K(157248K), 0.0031860 secs] 163501K->23670K(506816K), 0.0032987 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:43.349-0800: 36.677: [GC (Allocation Failure) 2020-10-27T22:13:43.349-0800: 36.677: [DefNew: 139853K->110K(157248K), 0.0028093 secs] 163446K->23709K(506816K), 0.0028872 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:43.486-0800: 36.815: [GC (Allocation Failure) 2020-10-27T22:13:43.486-0800: 36.815: [DefNew: 139886K->67K(157248K), 0.0023739 secs] 163485K->23678K(506816K), 0.0024484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:43.620-0800: 36.948: [GC (Allocation Failure) 2020-10-27T22:13:43.620-0800: 36.948: [DefNew: 139843K->64K(157248K), 0.0023351 secs] 163454K->23675K(506816K), 0.0024281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:43.752-0800: 37.081: [GC (Allocation Failure) 2020-10-27T22:13:43.752-0800: 37.081: [DefNew: 139840K->93K(157248K), 0.0023829 secs] 163451K->23703K(506816K), 0.0024625 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:43.889-0800: 37.218: [GC (Allocation Failure) 2020-10-27T22:13:43.889-0800: 37.218: [DefNew: 139869K->72K(157248K), 0.0025892 secs] 163479K->23683K(506816K), 0.0026739 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:44.024-0800: 37.353: [GC (Allocation Failure) 2020-10-27T22:13:44.024-0800: 37.353: [DefNew: 139848K->80K(157248K), 0.0024811 secs] 163459K->23691K(506816K), 0.0025550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:44.160-0800: 37.488: [GC (Allocation Failure) 2020-10-27T22:13:44.160-0800: 37.488: [DefNew: 139856K->89K(157248K), 0.0024359 secs] 163467K->23700K(506816K), 0.0025316 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:44.291-0800: 37.620: [GC (Allocation Failure) 2020-10-27T22:13:44.291-0800: 37.620: [DefNew: 139865K->75K(157248K), 0.0024444 secs] 163476K->23686K(506816K), 0.0025354 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:44.425-0800: 37.753: [GC (Allocation Failure) 2020-10-27T22:13:44.425-0800: 37.753: [DefNew: 139851K->129K(157248K), 0.0027930 secs] 163462K->23741K(506816K), 0.0028851 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:44.558-0800: 37.886: [GC (Allocation Failure) 2020-10-27T22:13:44.558-0800: 37.887: [DefNew: 139905K->79K(157248K), 0.0025296 secs] 163517K->23690K(506816K), 0.0032084 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:44.700-0800: 38.028: [GC (Allocation Failure) 2020-10-27T22:13:44.700-0800: 38.029: [DefNew: 139855K->92K(157248K), 0.0026595 secs] 163466K->23703K(506816K), 0.0027766 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:44.840-0800: 38.168: [GC (Allocation Failure) 2020-10-27T22:13:44.840-0800: 38.168: [DefNew: 139868K->88K(157248K), 0.0024170 secs] 163479K->23700K(506816K), 0.0025129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:44.982-0800: 38.311: [GC (Allocation Failure) 2020-10-27T22:13:44.982-0800: 38.311: [DefNew: 139864K->82K(157248K), 0.0024990 secs] 163476K->23695K(506816K), 0.0025930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:45.112-0800: 38.440: [GC (Allocation Failure) 2020-10-27T22:13:45.112-0800: 38.440: [DefNew: 139858K->86K(157248K), 0.0026107 secs] 163471K->23698K(506816K), 0.0027128 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:45.253-0800: 38.582: [GC (Allocation Failure) 2020-10-27T22:13:45.253-0800: 38.582: [DefNew: 139862K->85K(157248K), 0.0024455 secs] 163474K->23698K(506816K), 0.0025617 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:45.379-0800: 38.707: [GC (Allocation Failure) 2020-10-27T22:13:45.379-0800: 38.707: [DefNew: 139861K->87K(157248K), 0.0025966 secs] 163474K->23699K(506816K), 0.0026804 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:45.516-0800: 38.845: [GC (Allocation Failure) 2020-10-27T22:13:45.516-0800: 38.845: [DefNew: 139863K->91K(157248K), 0.0024306 secs] 163475K->23703K(506816K), 0.0025334 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:45.657-0800: 38.985: [GC (Allocation Failure) 2020-10-27T22:13:45.657-0800: 38.985: [DefNew: 139867K->80K(157248K), 0.0024095 secs] 163479K->23693K(506816K), 0.0025079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:45.782-0800: 39.111: [GC (Allocation Failure) 2020-10-27T22:13:45.782-0800: 39.111: [DefNew: 139856K->122K(157248K), 0.0025599 secs] 163469K->23734K(506816K), 0.0026613 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:45.902-0800: 39.231: [GC (Allocation Failure) 2020-10-27T22:13:45.902-0800: 39.231: [DefNew: 139898K->89K(157248K), 0.0025147 secs] 163510K->23701K(506816K), 0.0026396 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:46.044-0800: 39.373: [GC (Allocation Failure) 2020-10-27T22:13:46.044-0800: 39.373: [DefNew: 139865K->87K(157248K), 0.0023648 secs] 163477K->23700K(506816K), 0.0024627 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:46.202-0800: 39.530: [GC (Allocation Failure) 2020-10-27T22:13:46.202-0800: 39.530: [DefNew: 139863K->78K(157248K), 0.0024351 secs] 163476K->23691K(506816K), 0.0025295 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:46.335-0800: 39.664: [GC (Allocation Failure) 2020-10-27T22:13:46.335-0800: 39.664: [DefNew: 139854K->78K(157248K), 0.0021874 secs] 163467K->23691K(506816K), 0.0024149 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:46.462-0800: 39.790: [GC (Allocation Failure) 2020-10-27T22:13:46.462-0800: 39.790: [DefNew: 139854K->93K(157248K), 0.0023027 secs] 163467K->23705K(506816K), 0.0024112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:46.572-0800: 39.900: [GC (Allocation Failure) 2020-10-27T22:13:46.572-0800: 39.900: [DefNew: 139869K->91K(157248K), 0.0023605 secs] 163481K->23703K(506816K), 0.0024622 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:46.717-0800: 40.046: [GC (Allocation Failure) 2020-10-27T22:13:46.717-0800: 40.046: [DefNew: 139867K->108K(157248K), 0.0022079 secs] 163479K->23721K(506816K), 0.0022916 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:46.837-0800: 40.165: [GC (Allocation Failure) 2020-10-27T22:13:46.837-0800: 40.165: [DefNew: 139884K->76K(157248K), 0.0025143 secs] 163497K->23689K(506816K), 0.0026841 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:46.978-0800: 40.306: [GC (Allocation Failure) 2020-10-27T22:13:46.978-0800: 40.306: [DefNew: 139852K->87K(157248K), 0.0023066 secs] 163465K->23710K(506816K), 0.0023823 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:47.103-0800: 40.432: [GC (Allocation Failure) 2020-10-27T22:13:47.103-0800: 40.432: [DefNew: 139863K->87K(157248K), 0.0023170 secs] 163486K->23711K(506816K), 0.0023974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.225-0800: 40.553: [GC (Allocation Failure) 2020-10-27T22:13:47.225-0800: 40.553: [DefNew: 139863K->81K(157248K), 0.0022947 secs] 163487K->23705K(506816K), 0.0023701 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.335-0800: 40.664: [GC (Allocation Failure) 2020-10-27T22:13:47.335-0800: 40.664: [DefNew: 139857K->63K(157248K), 0.0026207 secs] 163481K->23691K(506816K), 0.0027130 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.470-0800: 40.798: [GC (Allocation Failure) 2020-10-27T22:13:47.470-0800: 40.798: [DefNew: 139839K->70K(157248K), 0.0022808 secs] 163467K->23698K(506816K), 0.0023494 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.596-0800: 40.924: [GC (Allocation Failure) 2020-10-27T22:13:47.596-0800: 40.924: [DefNew: 139846K->61K(157248K), 0.0023180 secs] 163474K->23689K(506816K), 0.0024175 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.720-0800: 41.048: [GC (Allocation Failure) 2020-10-27T22:13:47.720-0800: 41.048: [DefNew: 139837K->94K(157248K), 0.0024283 secs] 163465K->23723K(506816K), 0.0025134 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.833-0800: 41.162: [GC (Allocation Failure) 2020-10-27T22:13:47.833-0800: 41.162: [DefNew: 139870K->62K(157248K), 0.0021963 secs] 163499K->23691K(506816K), 0.0022707 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:47.939-0800: 41.267: [GC (Allocation Failure) 2020-10-27T22:13:47.939-0800: 41.267: [DefNew: 139838K->74K(157248K), 0.0022471 secs] 163467K->23704K(506816K), 0.0023370 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:48.064-0800: 41.392: [GC (Allocation Failure) 2020-10-27T22:13:48.064-0800: 41.392: [DefNew: 139850K->71K(157248K), 0.0023420 secs] 163480K->23701K(506816K), 0.0024252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:48.191-0800: 41.520: [GC (Allocation Failure) 2020-10-27T22:13:48.191-0800: 41.520: [DefNew: 139847K->72K(157248K), 0.0021940 secs] 163477K->23701K(506816K), 0.0022689 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:48.298-0800: 41.626: [GC (Allocation Failure) 2020-10-27T22:13:48.298-0800: 41.626: [DefNew: 139848K->86K(157248K), 0.0023370 secs] 163477K->23715K(506816K), 0.0024080 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:48.422-0800: 41.750: [GC (Allocation Failure) 2020-10-27T22:13:48.422-0800: 41.750: [DefNew: 139862K->81K(157248K), 0.0021826 secs] 163491K->23710K(506816K), 0.0022616 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:48.548-0800: 41.876: [GC (Allocation Failure) 2020-10-27T22:13:48.548-0800: 41.877: [DefNew: 139857K->78K(157248K), 0.0020718 secs] 163486K->23707K(506816K), 0.0021425 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:48.672-0800: 42.000: [GC (Allocation Failure) 2020-10-27T22:13:48.672-0800: 42.000: [DefNew: 139854K->74K(157248K), 0.0021607 secs] 163483K->23703K(506816K), 0.0022399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:48.776-0800: 42.104: [GC (Allocation Failure) 2020-10-27T22:13:48.776-0800: 42.104: [DefNew: 139850K->80K(157248K), 0.0022222 secs] 163479K->23710K(506816K), 0.0022911 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:48.895-0800: 42.223: [GC (Allocation Failure) 2020-10-27T22:13:48.895-0800: 42.223: [DefNew: 139855K->71K(157248K), 0.0021840 secs] 163485K->23701K(506816K), 0.0022731 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.017-0800: 42.345: [GC (Allocation Failure) 2020-10-27T22:13:49.017-0800: 42.345: [DefNew: 139847K->88K(157248K), 0.0021567 secs] 163477K->23718K(506816K), 0.0022519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.138-0800: 42.467: [GC (Allocation Failure) 2020-10-27T22:13:49.138-0800: 42.467: [DefNew: 139860K->87K(157248K), 0.0021691 secs] 163490K->23717K(506816K), 0.0022420 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:49.260-0800: 42.589: [GC (Allocation Failure) 2020-10-27T22:13:49.261-0800: 42.589: [DefNew: 139863K->67K(157248K), 0.0021810 secs] 163493K->23697K(506816K), 0.0022595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.390-0800: 42.718: [GC (Allocation Failure) 2020-10-27T22:13:49.390-0800: 42.719: [DefNew: 139843K->64K(157248K), 0.0022249 secs] 163473K->23695K(506816K), 0.0022970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.522-0800: 42.851: [GC (Allocation Failure) 2020-10-27T22:13:49.522-0800: 42.851: [DefNew: 139840K->90K(157248K), 0.0023404 secs] 163471K->23722K(506816K), 0.0024215 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.648-0800: 42.977: [GC (Allocation Failure) 2020-10-27T22:13:49.648-0800: 42.977: [DefNew: 139866K->83K(157248K), 0.0023500 secs] 163498K->23715K(506816K), 0.0024535 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:49.756-0800: 43.084: [GC (Allocation Failure) 2020-10-27T22:13:49.756-0800: 43.084: [DefNew: 139859K->89K(157248K), 0.0024542 secs] 163491K->23721K(506816K), 0.0025360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.874-0800: 43.202: [GC (Allocation Failure) 2020-10-27T22:13:49.874-0800: 43.202: [DefNew: 139865K->104K(157248K), 0.0026809 secs] 163497K->23736K(506816K), 0.0027873 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:49.993-0800: 43.321: [GC (Allocation Failure) 2020-10-27T22:13:49.993-0800: 43.321: [DefNew: 139880K->85K(157248K), 0.0022367 secs] 163512K->23717K(506816K), 0.0023131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.114-0800: 43.443: [GC (Allocation Failure) 2020-10-27T22:13:50.114-0800: 43.443: [DefNew: 139861K->114K(157248K), 0.0031709 secs] 163493K->23745K(506816K), 0.0032829 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:50.239-0800: 43.567: [GC (Allocation Failure) 2020-10-27T22:13:50.239-0800: 43.567: [DefNew: 139890K->96K(157248K), 0.0022115 secs] 163521K->23728K(506816K), 0.0022898 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
